country_region_numeric,country_region,country_agg,region_agg,region_id,shape_from,description
1,Afghanistan,Afghanistan,,AFG,GID_0,
2,Afghanistan ~ Badakhshan,Afghanistan,Badakhshan,AFG.1_1,GID_1,
3,Afghanistan ~ Badghis,Afghanistan,Badghis,AFG.2_1,GID_1,
4,Afghanistan ~ Baghlan,Afghanistan,Baghlan,AFG.3_1,GID_1,
5,Afghanistan ~ Balkh,Afghanistan,Balkh,AFG.4_1,GID_1,
6,Afghanistan ~ Bamyan,Afghanistan,Bamyan,AFG.5_1,GID_1,
7,Afghanistan ~ Daykundi,Afghanistan,Daykundi,AFG.6_1,GID_1,
8,Afghanistan ~ Farah,Afghanistan,Farah,AFG.7_1,GID_1,
9,Afghanistan ~ Faryab,Afghanistan,Faryab,AFG.8_1,GID_1,
10,Afghanistan ~ Ghazni,Afghanistan,Ghazni,AFG.9_1,GID_1,
11,Afghanistan ~ Ghor,Afghanistan,Ghor,AFG.10_1,GID_1,
12,Afghanistan ~ Hilmand,Afghanistan,Hilmand,AFG.11_1,GID_1,
13,Afghanistan ~ Hirat,Afghanistan,Hirat,AFG.12_1,GID_1,
14,Afghanistan ~ Jawzjan,Afghanistan,Jawzjan,AFG.13_1,GID_1,
15,Afghanistan ~ Kabul,Afghanistan,Kabul,AFG.14_1,GID_1,
16,Afghanistan ~ Kandahar,Afghanistan,Kandahar,AFG.15_1,GID_1,
17,Afghanistan ~ Kapisa,Afghanistan,Kapisa,AFG.16_1,GID_1,
18,Afghanistan ~ Khost,Afghanistan,Khost,AFG.17_1,GID_1,
19,Afghanistan ~ Kunar,Afghanistan,Kunar,AFG.18_1,GID_1,
20,Afghanistan ~ Kunduz,Afghanistan,Kunduz,AFG.19_1,GID_1,
21,Afghanistan ~ Laghman,Afghanistan,Laghman,AFG.20_1,GID_1,
22,Afghanistan ~ Logar,Afghanistan,Logar,AFG.21_1,GID_1,
23,Afghanistan ~ Nangarhar,Afghanistan,Nangarhar,AFG.22_1,GID_1,
24,Afghanistan ~ Nimroz,Afghanistan,Nimroz,AFG.23_1,GID_1,
25,Afghanistan ~ Nuristan,Afghanistan,Nuristan,AFG.24_1,GID_1,
26,Afghanistan ~ Paktika,Afghanistan,Paktika,AFG.25_1,GID_1,
27,Afghanistan ~ Paktya,Afghanistan,Paktya,AFG.26_1,GID_1,
28,Afghanistan ~ Panjshir,Afghanistan,Panjshir,AFG.27_1,GID_1,
29,Afghanistan ~ Parwan,Afghanistan,Parwan,AFG.28_1,GID_1,
30,Afghanistan ~ Samangan,Afghanistan,Samangan,AFG.29_1,GID_1,
31,Afghanistan ~ Sari Pul,Afghanistan,Sari Pul,AFG.30_1,GID_1,
32,Afghanistan ~ Takhar,Afghanistan,Takhar,AFG.31_1,GID_1,
33,Afghanistan ~ Uruzgan,Afghanistan,Uruzgan,AFG.32_1,GID_1,
34,Afghanistan ~ Wardak,Afghanistan,Wardak,AFG.33_1,GID_1,
35,Afghanistan ~ Zabul,Afghanistan,Zabul,AFG.34_1,GID_1,
36,Aland Islands,Aland Islands,,ALA,GID_0,
37,Aland Islands ~ Brändö,Aland Islands,Brändö,ALA.1_1,GID_1,
38,Aland Islands ~ Eckerö,Aland Islands,Eckerö,ALA.2_1,GID_1,
39,Aland Islands ~ Finström,Aland Islands,Finström,ALA.3_1,GID_1,
40,Aland Islands ~ Föglö,Aland Islands,Föglö,ALA.4_1,GID_1,
41,Aland Islands ~ Geta,Aland Islands,Geta,ALA.5_1,GID_1,
42,Aland Islands ~ Hammarland,Aland Islands,Hammarland,ALA.6_1,GID_1,
43,Aland Islands ~ Jomala,Aland Islands,Jomala,ALA.7_1,GID_1,
44,Aland Islands ~ Kökar,Aland Islands,Kökar,ALA.8_1,GID_1,
45,Aland Islands ~ Kumlinge,Aland Islands,Kumlinge,ALA.9_1,GID_1,
46,Aland Islands ~ Lemland,Aland Islands,Lemland,ALA.10_1,GID_1,
47,Aland Islands ~ Lumparland,Aland Islands,Lumparland,ALA.11_1,GID_1,
48,Aland Islands ~ Mariehamn,Aland Islands,Mariehamn,ALA.12_1,GID_1,
49,Aland Islands ~ Saltvik,Aland Islands,Saltvik,ALA.13_1,GID_1,
50,Aland Islands ~ Sottunga,Aland Islands,Sottunga,ALA.14_1,GID_1,
51,Aland Islands ~ Sund,Aland Islands,Sund,ALA.15_1,GID_1,
52,Aland Islands ~ Vårdö,Aland Islands,Vårdö,ALA.16_1,GID_1,
53,Albania,Albania,,ALB,GID_0,
54,Albania ~ Berat,Albania,Berat,ALB.1_1,GID_1,
55,Albania ~ Dibër,Albania,Dibër,ALB.2_1,GID_1,
56,Albania ~ Durrës,Albania,Durrës,ALB.3_1,GID_1,
57,Albania ~ Elbasan,Albania,Elbasan,ALB.4_1,GID_1,
58,Albania ~ Fier,Albania,Fier,ALB.5_1,GID_1,
59,Albania ~ Gjirokastër,Albania,Gjirokastër,ALB.6_1,GID_1,
60,Albania ~ Korçë,Albania,Korçë,ALB.7_1,GID_1,
61,Albania ~ Kukës,Albania,Kukës,ALB.8_1,GID_1,
62,Albania ~ Lezhë,Albania,Lezhë,ALB.9_1,GID_1,
63,Albania ~ Shkodër,Albania,Shkodër,ALB.10_1,GID_1,
64,Albania ~ Tiranë,Albania,Tiranë,ALB.11_1,GID_1,
65,Albania ~ Vlorë,Albania,Vlorë,ALB.12_1,GID_1,
66,Algeria,Algeria,,DZA,GID_0,
67,Algeria ~ Adrar (Algeria),Algeria,Adrar (Algeria),DZA.1_1,GID_1,
68,Algeria ~ Aïn Defla,Algeria,Aïn Defla,DZA.2_1,GID_1,
69,Algeria ~ Aïn Témouchent,Algeria,Aïn Témouchent,DZA.3_1,GID_1,
70,Algeria ~ Alger,Algeria,Alger,DZA.4_1,GID_1,
71,Algeria ~ Annaba,Algeria,Annaba,DZA.5_1,GID_1,
72,Algeria ~ Batna,Algeria,Batna,DZA.6_1,GID_1,
73,Algeria ~ Béchar,Algeria,Béchar,DZA.7_1,GID_1,
74,Algeria ~ Béjaïa,Algeria,Béjaïa,DZA.8_1,GID_1,
75,Algeria ~ Biskra,Algeria,Biskra,DZA.9_1,GID_1,
76,Algeria ~ Blida,Algeria,Blida,DZA.10_1,GID_1,
77,Algeria ~ Bordj Bou Arréridj,Algeria,Bordj Bou Arréridj,DZA.11_1,GID_1,
78,Algeria ~ Bouira,Algeria,Bouira,DZA.12_1,GID_1,
79,Algeria ~ Boumerdès,Algeria,Boumerdès,DZA.13_1,GID_1,
80,Algeria ~ Chlef,Algeria,Chlef,DZA.14_1,GID_1,
81,Algeria ~ Constantine,Algeria,Constantine,DZA.15_1,GID_1,
82,Algeria ~ Djelfa,Algeria,Djelfa,DZA.16_1,GID_1,
83,Algeria ~ El Bayadh,Algeria,El Bayadh,DZA.17_1,GID_1,
84,Algeria ~ El Oued,Algeria,El Oued,DZA.18_1,GID_1,
85,Algeria ~ El Tarf,Algeria,El Tarf,DZA.19_1,GID_1,
86,Algeria ~ Ghardaïa,Algeria,Ghardaïa,DZA.20_1,GID_1,
87,Algeria ~ Guelma,Algeria,Guelma,DZA.21_1,GID_1,
88,Algeria ~ Illizi,Algeria,Illizi,DZA.22_1,GID_1,
89,Algeria ~ Jijel,Algeria,Jijel,DZA.23_1,GID_1,
90,Algeria ~ Khenchela,Algeria,Khenchela,DZA.24_1,GID_1,
91,Algeria ~ Laghouat,Algeria,Laghouat,DZA.25_1,GID_1,
92,Algeria ~ M'Sila,Algeria,M'Sila,DZA.26_1,GID_1,
93,Algeria ~ Mascara,Algeria,Mascara,DZA.27_1,GID_1,
94,Algeria ~ Médéa,Algeria,Médéa,DZA.28_1,GID_1,
95,Algeria ~ Mila,Algeria,Mila,DZA.29_1,GID_1,
96,Algeria ~ Mostaganem,Algeria,Mostaganem,DZA.30_1,GID_1,
97,Algeria ~ Naâma,Algeria,Naâma,DZA.31_1,GID_1,
98,Algeria ~ Oran,Algeria,Oran,DZA.32_1,GID_1,
99,Algeria ~ Ouargla,Algeria,Ouargla,DZA.33_1,GID_1,
100,Algeria ~ Oum el Bouaghi,Algeria,Oum el Bouaghi,DZA.34_1,GID_1,
101,Algeria ~ Relizane,Algeria,Relizane,DZA.35_1,GID_1,
102,Algeria ~ Saïda,Algeria,Saïda,DZA.36_1,GID_1,
103,Algeria ~ Sétif,Algeria,Sétif,DZA.37_1,GID_1,
104,Algeria ~ Sidi Bel Abbès,Algeria,Sidi Bel Abbès,DZA.38_1,GID_1,
105,Algeria ~ Skikda,Algeria,Skikda,DZA.39_1,GID_1,
106,Algeria ~ Souk Ahras,Algeria,Souk Ahras,DZA.40_1,GID_1,
107,Algeria ~ Tamanghasset,Algeria,Tamanghasset,DZA.41_1,GID_1,
108,Algeria ~ Tébessa,Algeria,Tébessa,DZA.42_1,GID_1,
109,Algeria ~ Tiaret,Algeria,Tiaret,DZA.43_1,GID_1,
110,Algeria ~ Tindouf,Algeria,Tindouf,DZA.44_1,GID_1,
111,Algeria ~ Tipaza,Algeria,Tipaza,DZA.45_1,GID_1,
112,Algeria ~ Tissemsilt,Algeria,Tissemsilt,DZA.46_1,GID_1,
113,Algeria ~ Tizi Ouzou,Algeria,Tizi Ouzou,DZA.47_1,GID_1,
114,Algeria ~ Tlemcen,Algeria,Tlemcen,DZA.48_1,GID_1,
115,American Samoa,American Samoa,,ASM,GID_0,
116,American Samoa ~ Eastern (American Samoa),American Samoa,Eastern (American Samoa),ASM.1_1,GID_1,
117,American Samoa ~ Manu'a,American Samoa,Manu'a,ASM.2_1,GID_1,
118,American Samoa ~ Unorganized,American Samoa,Unorganized,ASM.3_1,GID_1,
119,American Samoa ~ Western (American Samoa),American Samoa,Western (American Samoa),ASM.4_1,GID_1,
120,Andorra,Andorra,,AND,GID_0,
121,Andorra ~ Andorra la Vella,Andorra,Andorra la Vella,AND.1_1,GID_1,
122,Andorra ~ Canillo,Andorra,Canillo,AND.2_1,GID_1,
123,Andorra ~ Encamp,Andorra,Encamp,AND.3_1,GID_1,
124,Andorra ~ Escaldes-Engordany,Andorra,Escaldes-Engordany,AND.4_1,GID_1,
125,Andorra ~ La Massana,Andorra,La Massana,AND.5_1,GID_1,
126,Andorra ~ Ordino,Andorra,Ordino,AND.6_1,GID_1,
127,Andorra ~ Sant Julià de Lòria,Andorra,Sant Julià de Lòria,AND.7_1,GID_1,
